county,fips,state,lat,lng
Merced County,6047,California,37.1919,-120.7177
Benton County,5007,Arkansas,36.3387,-94.2561
Santa Cruz County,6087,California,37.0562,-122.0018
Erie County,42049,Pennsylvania,41.9925,-80.0327
St. Joseph County,18141,Indiana,41.6167,-86.2899
Kitsap County,53035,Washington,47.613,-122.6716
Alachua County,12001,Florida,29.6748,-82.3577
New London County,9011,Connecticut,41.4867,-72.1014
Atlantic County,34001,New Jersey,39.4777,-74.661
Madison County,17119,Illinois,38.8297,-89.9049
Kalamazoo County,26077,Michigan,42.2455,-85.5312
Brown County,55009,Wisconsin,44.4525,-88.0037
St. Clair County,17163,Illinois,38.4703,-89.9284
Buncombe County,37021,North Carolina,35.6112,-82.5301
Marin County,6041,California,38.0735,-122.7235
Washington County,27163,Minnesota,45.0388,-92.8838
St. Tammany Parish,22103,Louisiana,30.4102,-89.9583
Frederick County,24021,Maryland,39.4722,-77.398
St. Johns County,12109,Florida,29.9016,-81.4407
Weber County,49057,Utah,41.2698,-111.9134
McLennan County,48309,Texas,31.5524,-97.2018
Cherokee County,13057,Georgia,34.2439,-84.4762
Harford County,24025,Maryland,39.5611,-76.3171
Jefferson County,48245,Texas,29.8841,-94.1629
Cumberland County,42041,Pennsylvania,40.1636,-77.2655
Yakima County,53077,Washington,46.457,-120.7385
Clay County,29047,Missouri,39.3105,-94.4209
Norfolk City,51710,Virginia,36.8945,-76.259
Lafayette Parish,22055,Louisiana,30.2068,-92.0639
Caddo Parish,22017,Louisiana,32.5806,-93.8823
Chesapeake City,51550,Virginia,36.6778,-76.3023
Forsyth County,13117,Georgia,34.2255,-84.1251
Arlington County,51013,Virginia,38.8786,-77.1011
Washington County,5143,Arkansas,35.9791,-94.2156
Union County,37179,North Carolina,34.9884,-80.5307
Hinds County,28049,Mississippi,32.2667,-90.4429
Warren County,39165,Ohio,39.4277,-84.1668
Yavapai County,4025,Arizona,34.5998,-112.5537
Williamson County,47187,Tennessee,35.8938,-86.8987
New Hanover County,37129,North Carolina,34.2328,-77.8847
Sussex County,10005,Delaware,38.6606,-75.39
Smith County,48423,Texas,32.375,-95.2692
Henry County,13151,Georgia,33.453,-84.1542
Lake County,39085,Ohio,41.6963,-81.2373
Saratoga County,36091,New York,43.1074,-73.8639
Richmond City,51760,Virginia,37.5295,-77.4756
Oneida County,36065,New York,43.2417,-75.4358
